CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AORA,MTS,JACHAJAKISASOLFESORC,PDC,A-UPP,NGP,LIBRE,SOMOS,JACHA MARKA T.C.A.,PATRIA-ORURO,P.P.,S.A.M. CHALLAPATA,APB-SUMATE,SUMA,UQ,IOTAYAQUIRAMD,FRI,LEAL,UN,MCSFA
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005667,10,3,7,26,4,3,27,12,27,,19,1,,1,,,,0,5,18,11
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005677,11,3,2,33,3,6,20,18,16,,10,0,,1,,,,3,6,19,12
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005687,12,0,2,37,3,5,24,24,24,,22,0,,0,,,,2,4,14,6
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005697,13,2,1,25,2,11,27,17,25,,19,3,,2,,,,2,4,15,10
1,Cercado,1,Oruro,2059,Oruro,101,Esc. Mixta Ferroviaria,4005707,14,0,0,21,0,3,10,7,8,,8,0,,0,,,,1,3,2,8
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003607,1,2,6,31,2,8,26,16,9,,9,1,,4,,,,2,3,8,10
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003617,2,1,7,23,1,7,28,8,31,,7,0,,2,,,,0,7,7,12
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003627,3,4,3,26,3,4,32,10,21,,11,3,,4,,,,2,8,4,11
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003637,4,7,6,25,3,6,27,11,25,,12,0,,1,,,,3,8,5,11
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003647,5,5,6,30,2,10,32,9,14,,7,1,,0,,,,0,5,8,6
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003657,6,2,2,26,2,10,31,13,24,,16,2,,0,,,,0,6,8,11
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003667,7,0,1,19,0,9,35,7,22,,12,0,,1,,,,5,7,9,6
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003677,8,4,4,20,1,13,27,15,19,,16,2,,0,,,,1,10,5,15
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003687,9,1,7,25,5,8,29,19,22,,14,0,,3,,,,1,6,4,9
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003697,10,3,3,36,1,7,25,13,16,,11,1,,3,,,,2,4,8,5
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003707,11,3,3,18,1,3,20,11,3,,9,0,,2,,,,1,5,3,8
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000837,1,3,11,19,3,11,18,21,21,,19,1,,3,,,,1,5,16,7
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000847,2,2,5,34,3,10,22,13,14,,19,3,,2,,,,1,3,21,10
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000857,3,2,2,24,2,18,25,12,13,,17,1,,1,,,,1,6,15,7
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000867,4,6,4,24,3,7,17,22,26,,19,2,,2,,,,1,4,6,8
1,Cercado,1,Oruro,2059,Oruro,104,Col. Mixto San Jose,4000877,5,1,2,11,0,2,9,2,4,,3,0,,4,,,,0,0,6,7
1,Cercado,1,Oruro,2059,Oruro,106,Col. Nal. Mixto Bolivia,4007357,1,2,10,29,2,6,39,14,28,,14,1,,2,,,,1,3,8,12
1,Cercado,1,Oruro,2059,Oruro,106,Col. Nal. Mixto Bolivia,4007367,2,7,8,25,4,6,34,12,16,,10,1,,1,,,,1,3,10,5
1,Cercado,1,Oruro,2059,Oruro,106,Col. Nal. Mixto Bolivia,4007377,3,0,3,2,2,1,11,10,8,,6,1,,0,,,,0,0,1,2
1,Cercado,1,Oruro,2059,Oruro,108,Col. Nal. Antonio Jose De Sainz,4000017,1,4,2,30,1,12,28,17,17,,14,2,,3,,,,1,2,15,11
1,Cercado,1,Oruro,2059,Oruro,108,Col. Nal. Antonio Jose De Sainz,4000037,3,3,5,37,3,6,25,20,17,,13,1,,0,,,,1,8,11,11
1,Cercado,1,Oruro,2059,Oruro,108,Col. Nal. Antonio Jose De Sainz,4000047,4,1,2,33,3,4,34,21,21,,10,0,,3,,,,2,6,8,15
1,Cercado,1,Oruro,2059,Oruro,108,Col. Nal. Antonio Jose De Sainz,4000057,5,4,3,29,1,10,26,16,18,,10,2,,3,,,,1,6,9,16
1,Cercado,1,Oruro,2059,Oruro,113,Col. Donato Vasquez,4000417,1,3,4,27,3,4,28,16,33,,12,0,,3,,,,4,2,25,14
1,Cercado,1,Oruro,2059,Oruro,113,Col. Donato Vasquez,4000427,2,3,8,23,4,12,9,17,24,,18,1,,3,,,,2,6,8,10
1,Cercado,1,Oruro,2059,Oruro,113,Col. Donato Vasquez,4000437,3,1,3,30,3,2,21,27,15,,17,0,,0,,,,4,5,23,6
1,Cercado,1,Oruro,2059,Oruro,113,Col. Donato Vasquez,4000447,4,2,4,35,0,11,19,12,21,,11,0,,0,,,,1,8,13,10
1,Cercado,1,Oruro,2059,Oruro,113,Col. Donato Vasquez,4000457,5,3,2,36,4,6,25,31,11,,11,0,,3,,,,1,8,14,11
1,Cercado,1,Oruro,2059,Oruro,113,Col. Donato Vasquez,4000467,6,5,3,32,3,8,15,22,18,,22,1,,4,,,,0,5,10,11
1,Cercado,1,Oruro,2059,Oruro,113,Col. Donato Vasquez,4000477,7,1,3,27,0,5,21,23,20,,15,1,,4,,,,1,0,19,14
1,Cercado,1,Oruro,2059,Oruro,113,Col. Donato Vasquez,4000487,8,0,1,6,0,0,6,4,7,,9,0,,3,,,,0,0,2,3
