CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,MTS,SOMOS,UN,JACHAJAKISASOLFESORC,P.P.,AORA,NGP,PATRIA-ORURO,LIBRE,FRI,APB-SUMATE,A-UPP,PDC
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002321,15,15,8,5,45,3,10,25,16,10,3,1,13,0
1,Cercado,1,Oruro,2059,Oruro,81,U. E. Oscar Unzaga De La Vega,4002341,17,9,4,4,55,7,9,12,22,11,2,3,14,10
1,Cercado,1,Oruro,2059,Oruro,25032,U. E. Oscar Unzaga De La Vega 2,4002481,1,8,4,9,62,1,12,16,19,18,2,3,9,6
1,Cercado,1,Oruro,2059,Oruro,25032,U. E. Oscar Unzaga De La Vega 2,4002491,2,7,17,2,56,7,7,21,17,15,4,5,9,6
1,Cercado,1,Oruro,2059,Oruro,25032,U. E. Oscar Unzaga De La Vega 2,4002501,3,10,12,2,45,7,6,29,18,10,1,4,10,8
1,Cercado,1,Oruro,2059,Oruro,25032,U. E. Oscar Unzaga De La Vega 2,4002511,4,5,14,0,75,4,8,22,24,18,0,1,4,5
1,Cercado,1,Oruro,2059,Oruro,25032,U. E. Oscar Unzaga De La Vega 2,4002521,5,15,9,6,52,6,12,24,20,8,3,3,10,4
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002711,1,12,7,1,26,6,25,18,13,5,2,5,9,3
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002731,3,5,11,3,23,3,21,9,17,6,4,8,11,11
1,Cercado,1,Oruro,2059,Oruro,93,(Cárcel) Penal San Pedro,4002741,4,2,0,4,8,2,9,4,6,3,2,2,4,2
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002801,6,7,9,4,64,3,7,13,25,18,2,1,9,13
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002811,7,3,5,5,64,6,5,18,23,13,2,2,14,10
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002821,8,11,8,8,63,4,7,14,23,10,3,1,13,6
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002831,9,10,11,3,57,6,12,14,23,11,2,1,12,4
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002841,10,10,11,5,53,5,15,13,15,10,3,1,14,10
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002851,11,5,8,8,53,4,10,16,31,9,2,3,6,8
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002861,12,5,13,7,63,5,7,18,24,19,0,4,9,9
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002881,14,13,6,5,48,7,8,13,19,15,3,4,9,5
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002891,15,8,6,6,52,1,7,18,30,9,2,6,13,9
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002901,16,8,11,6,58,2,7,13,24,11,1,2,20,8
1,Cercado,1,Oruro,2059,Oruro,94,U. E. John F. Kennedy,4002911,17,2,3,3,18,2,2,1,6,5,0,1,2,3
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002921,1,4,6,8,49,3,5,16,21,19,6,1,12,4
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002931,2,7,6,4,43,6,9,20,31,13,1,2,14,2
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002941,3,9,11,4,48,3,14,14,21,13,2,3,10,6
1,Cercado,1,Oruro,2059,Oruro,96,Inst. Normal Superior Angel Mendoza J.,4002971,6,6,10,8,50,4,16,14,23,16,0,6,17,8
1,Cercado,1,Oruro,2059,Oruro,31032,U.E. John Fitzgerald Kennedy 2,4003051,1,10,17,5,61,6,6,21,17,14,1,1,12,3
1,Cercado,1,Oruro,2059,Oruro,31032,U.E. John Fitzgerald Kennedy 2,4003061,2,9,8,3,58,6,7,11,23,17,4,5,11,7
1,Cercado,1,Oruro,2059,Oruro,31032,U.E. John Fitzgerald Kennedy 2,4003071,3,11,5,8,59,3,7,12,19,18,3,3,10,9
1,Cercado,1,Oruro,2059,Oruro,31032,U.E. John Fitzgerald Kennedy 2,4003081,4,9,15,7,68,3,13,8,11,16,3,1,8,2
1,Cercado,1,Oruro,2059,Oruro,31032,U.E. John Fitzgerald Kennedy 2,4003101,6,9,16,9,43,2,8,17,13,10,4,2,16,9
1,Cercado,1,Oruro,2059,Oruro,31032,U.E. John Fitzgerald Kennedy 2,4003111,7,4,17,6,50,2,8,11,22,19,3,3,8,6
1,Cercado,1,Oruro,2059,Oruro,31032,U.E. John Fitzgerald Kennedy 2,4003121,8,9,10,9,54,4,13,12,17,21,6,2,8,6
1,Cercado,1,Oruro,2059,Oruro,31032,U.E. John Fitzgerald Kennedy 2,4003131,9,0,3,1,23,2,3,2,5,5,1,3,0,3
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003261,2,12,11,3,55,5,11,11,21,9,1,6,8,11
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003271,3,11,15,2,49,1,14,12,11,7,0,1,14,5
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003291,5,13,5,3,56,4,7,7,19,16,0,2,7,6
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003301,6,13,13,1,58,7,11,13,17,17,0,2,11,7
1,Cercado,1,Oruro,2059,Oruro,79,Esc. Jacinto Rodriguez (La Aurora),4003321,8,3,1,0,8,0,0,2,2,1,0,0,0,1
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003331,1,4,12,3,72,4,13,16,20,8,1,1,15,8
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003341,2,6,8,3,67,4,9,19,17,14,2,4,17,6
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003351,3,7,10,8,73,2,12,12,16,6,1,0,16,5
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003361,4,8,21,7,66,6,4,17,30,7,1,1,7,4
1,Cercado,1,Oruro,2059,Oruro,99,U. E. Guido Villagomez,4003371,5,8,5,10,66,4,8,12,11,19,3,4,15,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003441,1,12,12,2,45,4,17,21,16,8,1,2,12,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003481,5,11,15,2,46,3,17,18,20,7,3,5,9,9
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003491,6,15,11,3,46,3,15,16,14,7,0,1,14,8
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003501,7,10,20,5,48,1,18,15,16,11,2,1,12,4
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003511,8,13,6,2,50,6,19,19,17,3,3,2,11,3
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003521,9,14,8,4,42,11,23,17,16,6,3,2,8,5
1,Cercado,1,Oruro,2059,Oruro,80,Esc. Franz Tamayo (Los Pinos),4003531,10,4,9,1,35,5,13,24,15,3,1,0,5,6
1,Cercado,1,Oruro,2059,Oruro,32366,U.E. Carlos Villegas Quiroga,4003551,2,2,0,0,13,0,18,5,1,1,0,1,2,3
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003601,1,8,12,6,60,3,9,12,21,16,1,3,16,6
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003611,2,13,16,7,49,6,13,9,14,17,1,2,17,4
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003621,3,4,7,3,69,7,10,15,26,13,0,1,7,14
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003631,4,12,10,3,54,2,13,11,20,14,2,6,23,13
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003641,5,4,6,4,62,3,13,18,22,13,1,2,12,8
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003651,6,5,7,6,40,7,14,11,28,12,4,4,16,6
1,Cercado,1,Oruro,2059,Oruro,102,U. E. Virgen Del Mar II,4003661,7,4,9,3,50,4,8,15,28,12,3,3,26,7
