CodigoProvincia,NombreProvincia,CodigoSeccion,NombreMunicipio,CodigoLocalidad,NombreLocalidad,CodigoRecinto,NombreRecinto,CodigoMesa,NumeroMesa,AGN,LIBRE,PATRIA-UNIDOS,MTS,XS-CH,FRI,NGP,A-UPP
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000751,6,60,20,46,3,20,3,,6
1,Oropeza,1,Sucre,2794,Sucre,202,Col. Don Bosco,1000761,7,64,24,33,0,15,3,,4
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000771,1,53,27,55,3,15,6,,8
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000781,2,59,23,56,1,13,4,,9
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000791,3,56,23,41,3,19,6,,6
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000801,4,61,27,36,0,16,1,,8
1,Oropeza,1,Sucre,2794,Sucre,204,Col. Sagrado Corazon,1000811,5,19,14,14,2,4,2,,2
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007891,1,71,14,36,4,20,3,,10
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007901,2,73,12,54,3,8,5,,12
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007911,3,73,15,34,0,20,3,,9
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007921,4,59,24,55,0,23,3,,7
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007931,5,71,13,47,3,14,10,,8
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007951,7,53,18,47,6,25,6,,8
1,Oropeza,1,Sucre,2794,Sucre,208,Kinder Municipal,1007961,8,42,11,22,3,8,3,,5
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009411,1,56,19,65,6,9,9,,13
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009421,2,48,15,48,9,22,16,,10
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009431,3,46,26,54,4,16,2,,7
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009441,4,66,20,55,6,17,4,,8
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009451,5,45,23,35,9,20,9,,13
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009461,6,57,18,49,10,11,4,,12
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009471,7,50,27,52,2,14,5,,5
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009481,8,53,18,52,4,15,14,,5
1,Oropeza,1,Sucre,2794,Sucre,210,Esc. Josefina Goytia,1009491,9,39,13,47,5,12,5,,4
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008041,1,39,19,56,4,6,8,,7
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008051,2,35,17,54,4,7,8,,8
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008061,3,46,12,43,1,11,8,,12
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008071,4,37,23,49,3,8,11,,4
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008081,5,38,16,49,5,8,4,,10
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008091,6,37,20,48,1,11,7,,6
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008101,7,38,14,45,6,9,1,,10
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008111,8,34,18,59,5,11,8,,8
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008121,9,24,13,57,5,8,7,,4
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008131,10,35,19,54,4,13,4,,8
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008141,11,25,15,51,5,11,4,,8
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008151,12,24,13,63,5,6,7,,12
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008161,13,26,10,45,5,10,10,,6
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008171,14,35,12,66,4,15,17,,10
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008181,15,34,20,67,1,7,9,,6
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008191,16,41,16,54,6,13,6,,5
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008201,17,27,18,53,3,14,6,,10
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008211,18,45,17,39,3,12,8,,7
1,Oropeza,1,Sucre,2794,Sucre,211,Esc. Aniceto Arce,1008221,19,25,13,37,5,8,3,,8
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005851,1,39,14,54,6,16,9,,8
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005861,2,53,15,50,3,15,8,,10
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005871,3,56,16,51,5,13,6,,9
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005881,4,32,19,49,5,23,9,,10
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005891,5,37,22,48,7,10,7,,13
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005901,6,33,15,53,5,13,3,,16
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005921,8,39,32,56,7,10,5,,7
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005931,9,45,17,41,7,17,2,,11
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005941,10,37,23,61,5,18,9,,8
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005951,11,28,15,50,7,13,8,,14
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005961,12,44,13,51,4,11,6,,12
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005971,13,40,17,53,7,17,9,,8
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005981,14,41,18,46,6,16,5,,13
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1005991,15,39,18,53,7,21,6,,3
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006001,16,27,16,54,7,17,3,,18
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006021,18,44,14,48,7,8,5,,11
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006031,19,45,19,43,8,17,2,,10
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006051,21,31,12,64,6,20,8,,11
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006071,23,49,20,46,6,17,10,,8
1,Oropeza,1,Sucre,2794,Sucre,212,Esc. Guido Villagomez,1006081,24,25,9,21,5,8,3,,4
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002941,1,34,19,74,6,19,4,,8
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002961,3,47,16,64,4,17,4,,11
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002981,5,42,14,57,8,6,8,,11
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1002991,6,44,13,47,4,12,8,,8
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003001,7,49,15,49,6,11,10,,6
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003021,9,38,15,58,6,15,7,,13
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003031,10,30,20,64,5,10,8,,11
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003041,11,48,23,55,3,12,11,,15
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003051,12,30,23,52,4,12,11,,11
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003061,13,30,20,42,5,19,9,,8
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003131,20,44,12,67,0,13,6,,8
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003141,21,55,20,56,6,8,6,,10
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003151,22,52,19,45,4,20,13,,14
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003161,23,38,20,63,5,14,3,,7
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003171,24,49,27,54,4,12,5,,10
1,Oropeza,1,Sucre,2794,Sucre,216,Col. Jorge Revilla,1003181,25,10,12,23,1,5,3,,2
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002731,2,41,9,46,2,24,3,,7
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002751,4,39,18,44,5,8,6,,13
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002771,6,33,17,43,9,20,5,,5
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002781,7,21,13,51,3,14,5,,13
1,Oropeza,1,Sucre,2794,Sucre,217,U.E. Marcelo Quiroga Santa Cruz,1002791,8,45,14,57,8,12,3,,6
